horizon,beta_signed,beta,type,reported_scale,cumulative,product,spec
4,0.03662908506060992,0.03662908506060992,alza_tpm,signed,0.1387483833178229,vivienda_uf,macro
5,-0.06635375834142462,-0.06635375834142462,alza_tpm,signed,0.07239462497639829,vivienda_uf,macro
6,-0.09218030770052722,-0.09218030770052722,alza_tpm,signed,-0.019785682724128943,vivienda_uf,macro
0,-0.01627832699447562,0.01627832699447562,baja_tpm,magnitude_expected_direction,0.01627832699447562,vivienda_uf,macro
1,-0.09339193536160956,0.09339193536160956,baja_tpm,magnitude_expected_direction,0.10967026235608518,vivienda_uf,macro
2,0.032806344301861766,-0.032806344301861766,baja_tpm,magnitude_expected_direction,0.0768639180542234,vivienda_uf,macro
3,0.042964161381521856,-0.042964161381521856,baja_tpm,magnitude_expected_direction,0.03389975667270155,vivienda_uf,macro
4,0.003393761182113009,-0.003393761182113009,baja_tpm,magnitude_expected_direction,0.030505995490588543,vivienda_uf,macro
5,-0.024525696815115194,0.024525696815115194,baja_tpm,magnitude_expected_direction,0.05503169230570374,vivienda_uf,macro
6,0.043573949119152605,-0.043573949119152605,baja_tpm,magnitude_expected_direction,0.011457743186551133,vivienda_uf,macro
